LLM,Attack,Aggressive,Attacks num,Successful attack num,Plan generation failures num,ASR,ASR - plan failure,Original task success num,Original task success rate,Refuse number,Refuse rate
gpt-3.5-turbo,combined attack,all,400,398,0,0.995,0.995,0,0.000,0,0.000
gpt-4o-mini,combined attack,all,400,354,0,0.885,0.885,4,0.010,17,0.043
llama3:70b,combined attack,all,400,346,8,0.865,0.883,23,0.058,30,0.075
llama3.1:70b,combined attack,all,400,352,11,0.880,0.905,1,0.003,18,0.045
llama3:8b,combined attack,all,400,223,27,0.557,0.598,6,0.015,59,0.147
llama3.1:8b,combined attack,all,400,273,1,0.682,0.684,0,0.000,40,0.100
gemma2:27b,combined attack,all,400,397,0,0.993,0.993,0,0.000,0,0.000
gemma2:9b,combined attack,all,400,355,4,0.887,0.896,1,0.003,15,0.037
mixtral:8x7b,combined attack,all,400,130,21,0.325,0.343,0,0.000,45,0.113
qwen2:7b,combined attack,all,400,286,0,0.715,0.715,2,0.005,26,0.065
qwen2:72b,combined attack,all,400,391,0,0.978,0.978,2,0.005,7,0.018
gpt-4o-2024-08-06,combined attack,all,400,254,34,0.635,0.694,100,0.250,77,0.193
claude-3-5-sonnet-20240620,combined attack,all,400,352,47,0.880,0.997,0,0.000,84,0.210
