LLM,Attack,Aggressive,Attacks num,Successful attack num,Plan generation failures num,ASR,ASR - plan failure,Original task success num,Original task success rate,Refuse number,Refuse rate,Memory search success num,Memory search success rate
gpt-3.5-turbo,combined attack,all,400,165,0,0.412,0.412,194,0.485,51,0.128,149,0.372
gpt-4o-mini,combined attack,all,400,154,0,0.385,0.385,219,0.547,0,0.000,150,0.375
llama3:70b,combined attack,all,400,110,0,0.275,0.275,253,0.632,10,0.025,150,0.375
llama3.1:70b,combined attack,all,400,41,4,0.102,0.104,144,0.360,10,0.025,149,0.372
llama3:8b,combined attack,all,400,17,0,0.043,0.043,14,0.035,7,0.018,148,0.370
llama3.1:8b,combined attack,all,400,25,0,0.062,0.062,12,0.030,11,0.028,151,0.378
gemma2:27b,combined attack,all,400,64,0,0.160,0.160,171,0.427,13,0.033,149,0.372
gemma2:9b,combined attack,all,400,56,1,0.140,0.140,68,0.170,107,0.268,151,0.378
mixtral:8x7b,combined attack,all,400,17,0,0.043,0.043,5,0.013,22,0.055,148,0.370
qwen2:7b,combined attack,all,400,37,1,0.092,0.093,56,0.140,28,0.070,148,0.370
qwen2:72b,combined attack,all,400,93,0,0.233,0.233,296,0.740,7,0.018,149,0.372
gpt-4o-2024-08-06,combined attack,all,400,223,0,0.557,0.557,272,0.680,3,0.007,150,0.375
claude-3-5-sonnet-20240620,combined attack,all,400,233,0,0.583,0.583,320,0.800,67,0.168,150,0.375
