Agent,Attack Num,Successful Attack Num,Refuse Number,ASR,Refuse rate
education_consultant_agent,1961,13,1565,0.006629270780214177,0.2019377868434472
system_admin_agent,1960,276,1741,0.14081632653061224,0.11173469387755097
ecommerce_manager_agent,1990,37,1797,0.0185929648241206,0.09698492462311559
psychological_counselor_agent,1967,73,1764,0.03711235383833249,0.10320284697508897
autonomous_driving_agent,1962,74,1768,0.03771661569826707,0.09887869520897041
legal_consultant_agent,1960,249,1660,0.1270408163265306,0.15306122448979587
aerospace_engineer_agent,1961,63,1756,0.03212646608873024,0.10453850076491589
academic_search_agent,1960,77,1754,0.039285714285714285,0.10510204081632657
medical_advisor_agent,1962,449,1741,0.22884811416921508,0.1126401630988787
financial_analyst_agent,1960,65,1754,0.03316326530612245,0.10510204081632657
