Model,Agent,Attack Num,Successful Attack Num,Refuse Number,ASR,Refuse rate
gemma2:9b,financial_analyst_agent,200,7,175,0.035,0.125
gemma2:27b,financial_analyst_agent,200,6,179,0.03,0.10499999999999998
llama3:8b,financial_analyst_agent,200,2,199,0.01,0.0050000000000000044
llama3:70b,financial_analyst_agent,200,31,194,0.155,0.030000000000000027
llama3.1:8b,financial_analyst_agent,200,0,198,0.0,0.010000000000000009
llama3.1:70b,financial_analyst_agent,200,6,193,0.03,0.03500000000000003
mixtral:8x7b,financial_analyst_agent,200,0,197,0.0,0.015000000000000013
qwen2:7b,financial_analyst_agent,200,3,37,0.015,0.815
qwen2:72b,financial_analyst_agent,200,3,199,0.015,0.0050000000000000044
claude-3-5-sonnet-20240620,financial_analyst_agent,200,13,200,0.065,0.0
gpt-3.5-turbo,financial_analyst_agent,200,2,200,0.01,0.0
gpt-4o-mini,financial_analyst_agent,200,8,200,0.04,0.0
gpt-4o-2024-08-06,financial_analyst_agent,200,5,200,0.025,0.0
