LLM,Attack,Aggressive,Attacks num,Successful attack num,Plan generation failures num,ASR,ASR - plan failure,Original task success num,Original task success rate,Refuse number,Refuse rate
llama3:70b,combined attack,No,200,0,0,0.000,0.000,117,0.585,8,0.040
llama3:70b,combined attack,Yes,200,0,0,0.000,0.000,117,0.585,16,0.080
llama3.1:70b,combined attack,No,200,0,0,0.000,0.000,15,0.075,5,0.025
llama3.1:70b,combined attack,Yes,200,0,6,0.000,0.000,23,0.115,12,0.060
llama3:8b,combined attack,No,200,0,65,0.000,0.000,3,0.015,73,0.365
llama3:8b,combined attack,Yes,200,0,63,0.000,0.000,4,0.020,74,0.370
llama3.1:8b,combined attack,No,200,0,0,0.000,0.000,0,0.000,11,0.055
llama3.1:8b,combined attack,Yes,200,0,0,0.000,0.000,0,0.000,4,0.020
gemma2:27b,combined attack,No,200,0,0,0.000,0.000,33,0.165,18,0.090
gemma2:27b,combined attack,Yes,200,0,0,0.000,0.000,26,0.130,21,0.105
gemma2:9b,combined attack,No,200,0,0,0.000,0.000,14,0.070,6,0.030
gemma2:9b,combined attack,Yes,200,0,0,0.000,0.000,18,0.090,11,0.055
mixtral:8x7b,combined attack,No,200,0,1,0.000,0.000,0,0.000,13,0.065
mixtral:8x7b,combined attack,Yes,200,0,4,0.000,0.000,1,0.005,13,0.065
qwen2:7b,combined attack,No,200,0,0,0.000,0.000,4,0.020,16,0.080
qwen2:7b,combined attack,Yes,200,0,0,0.000,0.000,3,0.015,13,0.065
qwen2:72b,combined attack,No,200,0,0,0.000,0.000,1,0.005,3,0.015
qwen2:72b,combined attack,Yes,200,0,0,0.000,0.000,0,0.000,3,0.015
