LLM,Attack,Aggressive,Trigger,Attacks num,Successful attack num,Plan generation failures num,ASR,ASR - plan failure,Original task success num,Original task success rate,Refuse number,Refuse rate
gpt-3.5-turbo,naive,No,discernment,200,15,0,0.075,0.075,37,0.185,2,0.010
gpt-3.5-turbo,naive,Yes,discernment,200,11,0,0.055,0.055,32,0.160,7,0.035
gpt-4o-mini,naive,No,@,200,48,0,0.240,0.240,108,0.540,6,0.030
gpt-4o-mini,naive,No,elucidation,200,60,0,0.300,0.300,116,0.580,2,0.010
gpt-4o-mini,naive,No,smile,200,47,0,0.235,0.235,110,0.550,4,0.020
gpt-4o-mini,naive,No,insight,200,52,0,0.260,0.260,114,0.570,4,0.020
gpt-4o-mini,naive,No,discernment,200,38,0,0.190,0.190,123,0.615,1,0.005
gpt-4o-mini,naive,Yes,@,200,33,0,0.165,0.165,117,0.585,2,0.010
gpt-4o-mini,naive,Yes,elucidation,200,33,0,0.165,0.165,134,0.670,4,0.020
gpt-4o-mini,naive,Yes,smile,200,30,0,0.150,0.150,117,0.585,0,0.000
gpt-4o-mini,naive,Yes,insight,200,28,0,0.140,0.140,135,0.675,2,0.010
gpt-4o-mini,naive,Yes,discernment,200,20,0,0.100,0.100,135,0.675,0,0.000
llama3:70b,naive,No,discernment,200,103,0,0.515,0.515,119,0.595,3,0.015
llama3:70b,naive,Yes,discernment,200,90,0,0.450,0.450,117,0.585,7,0.035
llama3.1:70b,naive,No,discernment,200,78,0,0.390,0.390,59,0.295,1,0.005
llama3.1:70b,naive,Yes,discernment,200,50,2,0.250,0.253,69,0.345,13,0.065
llama3:8b,naive,No,discernment,200,10,61,0.050,0.072,9,0.045,67,0.335
llama3:8b,naive,Yes,discernment,200,11,64,0.055,0.081,9,0.045,72,0.360
llama3.1:8b,naive,No,discernment,200,33,0,0.165,0.165,4,0.020,4,0.020
llama3.1:8b,naive,Yes,discernment,200,30,0,0.150,0.150,7,0.035,7,0.035
gemma2:27b,naive,No,discernment,200,56,0,0.280,0.280,81,0.405,11,0.055
gemma2:27b,naive,Yes,discernment,200,27,0,0.135,0.135,70,0.350,10,0.050
gemma2:9b,naive,No,discernment,200,55,0,0.275,0.275,46,0.230,9,0.045
gemma2:9b,naive,Yes,discernment,200,34,0,0.170,0.170,38,0.190,13,0.065
mixtral:8x7b,naive,No,discernment,200,11,24,0.055,0.062,2,0.010,27,0.135
mixtral:8x7b,naive,Yes,discernment,200,7,15,0.035,0.038,2,0.010,21,0.105
qwen2:7b,naive,No,discernment,200,29,7,0.145,0.150,23,0.115,6,0.030
qwen2:7b,naive,Yes,discernment,200,12,17,0.060,0.066,11,0.055,4,0.020
qwen2:72b,naive,No,discernment,200,35,0,0.175,0.175,4,0.020,6,0.030
qwen2:72b,naive,Yes,discernment,200,16,0,0.080,0.080,5,0.025,7,0.035
gpt-4o-2024-08-06,naive,No,@,200,25,0,0.125,0.125,166,0.830,1,0.005
gpt-4o-2024-08-06,naive,No,elucidation,200,24,0,0.120,0.120,172,0.860,1,0.005
gpt-4o-2024-08-06,naive,No,smile,200,26,0,0.130,0.130,160,0.800,0,0.000
gpt-4o-2024-08-06,naive,No,insight,200,26,0,0.130,0.130,161,0.805,0,0.000
gpt-4o-2024-08-06,naive,No,discernment,200,32,0,0.160,0.160,157,0.785,1,0.005
gpt-4o-2024-08-06,naive,Yes,@,200,16,0,0.080,0.080,172,0.860,2,0.010
gpt-4o-2024-08-06,naive,Yes,elucidation,200,13,0,0.065,0.065,182,0.910,0,0.000
gpt-4o-2024-08-06,naive,Yes,smile,200,11,0,0.055,0.055,162,0.810,0,0.000
gpt-4o-2024-08-06,naive,Yes,insight,200,11,0,0.055,0.055,175,0.875,0,0.000
gpt-4o-2024-08-06,naive,Yes,discernment,200,17,0,0.085,0.085,154,0.770,1,0.005
claude-3-5-sonnet-20240620,naive,No,discernment,200,22,0,0.110,0.110,172,0.860,1,0.005
claude-3-5-sonnet-20240620,naive,Yes,discernment,200,7,0,0.035,0.035,189,0.945,1,0.005
