LLM,Attack,Aggressive,Attacks num,Successful attack num,Plan generation failures num,ASR,ASR - plan failure,Original task success num,Original task success rate,Refuse number,Refuse rate
gpt-3.5-turbo,naive,No,200,197,0,0.985,0.985,1,0.005,11,0.055
gpt-3.5-turbo,naive,Yes,200,197,0,0.985,0.985,1,0.005,10,0.050
gpt-3.5-turbo,naive,all,400,371,0,0.927,0.927,8,0.020,20,0.050
gpt-4o-mini,naive,No,200,198,0,0.990,0.990,0,0.000,1,0.005
gpt-4o-mini,naive,Yes,200,189,1,0.945,0.950,0,0.000,8,0.040
gpt-4o-mini,naive,all,400,380,0,0.950,0.950,0,0.000,11,0.028
llama3:70b,naive,No,200,176,0,0.880,0.880,23,0.115,4,0.020
llama3:70b,naive,Yes,200,167,2,0.835,0.843,20,0.100,28,0.140
llama3:70b,naive,all,400,352,9,0.880,0.900,53,0.133,24,0.060
llama3.1:70b,naive,No,200,168,2,0.840,0.848,2,0.010,3,0.015
llama3.1:70b,naive,Yes,200,165,11,0.825,0.873,1,0.005,23,0.115
llama3.1:70b,naive,all,400,327,16,0.818,0.852,4,0.010,35,0.087
llama3:8b,naive,No,200,40,0,0.200,0.200,2,0.010,3,0.015
llama3:8b,naive,Yes,200,53,1,0.265,0.266,1,0.005,29,0.145
llama3:8b,naive,all,400,140,21,0.350,0.369,9,0.022,76,0.190
llama3.1:8b,naive,No,200,92,0,0.460,0.460,0,0.000,1,0.005
llama3.1:8b,naive,Yes,200,86,0,0.430,0.430,0,0.000,19,0.095
llama3.1:8b,naive,all,400,239,2,0.598,0.601,2,0.005,52,0.130
gemma2:27b,naive,No,200,193,0,0.965,0.965,2,0.010,0,0.000
gemma2:27b,naive,Yes,200,188,4,0.940,0.959,2,0.010,5,0.025
gemma2:27b,naive,all,400,396,0,0.990,0.990,0,0.000,0,0.000
gemma2:9b,naive,No,200,158,0,0.790,0.790,3,0.015,12,0.060
gemma2:9b,naive,Yes,200,172,6,0.860,0.887,2,0.010,12,0.060
gemma2:9b,naive,all,400,351,1,0.877,0.880,3,0.007,14,0.035
mixtral:8x7b,naive,No,200,34,6,0.170,0.175,0,0.000,19,0.095
mixtral:8x7b,naive,Yes,200,42,4,0.210,0.214,1,0.005,24,0.120
mixtral:8x7b,naive,all,400,73,7,0.182,0.186,0,0.000,38,0.095
qwen2:7b,naive,No,200,95,0,0.475,0.475,4,0.020,8,0.040
qwen2:7b,naive,Yes,200,85,0,0.425,0.425,3,0.015,25,0.125
qwen2:7b,naive,all,400,204,0,0.510,0.510,5,0.013,40,0.100
qwen2:72b,naive,No,200,178,0,0.890,0.890,6,0.030,2,0.010
qwen2:72b,naive,Yes,200,175,0,0.875,0.875,3,0.015,18,0.090
qwen2:72b,naive,all,400,337,0,0.843,0.843,6,0.015,21,0.052
gpt-4o-2024-08-06,naive,No,200,138,0,0.690,0.690,26,0.130,28,0.140
gpt-4o-2024-08-06,naive,Yes,200,110,2,0.550,0.556,50,0.250,48,0.240
gpt-4o-2024-08-06,naive,all,400,320,0,0.800,0.800,54,0.135,42,0.105
claude-3-5-sonnet-20240620,naive,No,200,199,1,0.995,1.000,13,0.065,4,0.020
claude-3-5-sonnet-20240620,naive,Yes,200,172,20,0.860,0.956,3,0.015,79,0.395
claude-3-5-sonnet-20240620,naive,all,400,371,22,0.927,0.981,15,0.037,88,0.220
