LLM,Attack,Aggressive,Attacks num,Successful attack num,Plan generation failures num,ASR,ASR - plan failure,Original task success num,Original task success rate,Refuse number,Refuse rate
gpt-4o-mini,combined attack,No,200,197,0,0.985,0.985,0.000,0.000,0,0.000
gpt-4o-mini,context ignoring,No,200,200,0,1.000,1.000,0.000,0.000,0,0.000
gpt-4o-mini,escape characters,No,200,196,0,0.980,0.980,0.000,0.000,1,0.005
gpt-4o-mini,fake completion,No,200,190,0,0.950,0.950,0.000,0.000,4,0.020
gpt-4o-mini,naive,No,200,198,0,0.990,0.990,0.000,0.000,1,0.005
gpt-4o-mini,combined attack,Yes,200,186,0,0.930,0.930,4.000,0.020,2,0.010
gpt-4o-mini,context ignoring,Yes,200,183,0,0.915,0.915,3.000,0.015,7,0.035
gpt-4o-mini,escape characters,Yes,200,186,2,0.930,0.939,0.000,0.000,8,0.040
gpt-4o-mini,fake completion,Yes,200,184,2,0.920,0.929,2.000,0.010,6,0.030
gpt-4o-mini,naive,Yes,200,189,1,0.945,0.950,0.000,0.000,8,0.040
gpt-3.5-turbo,combined attack,No,200,200,0,1.000,1.000,0.000,0.000,0,0.000
gpt-3.5-turbo,context ignoring,No,200,199,0,0.995,0.995,0.000,0.000,2,0.010
gpt-3.5-turbo,escape characters,No,200,191,0,0.955,0.955,2.000,0.010,16,0.080
gpt-3.5-turbo,fake completion,No,200,196,0,0.980,0.980,1.000,0.005,6,0.030
gpt-3.5-turbo,naive,No,200,197,0,0.985,0.985,1.000,0.005,11,0.055
gpt-3.5-turbo,combined attack,Yes,200,199,0,0.995,0.995,0.000,0.000,0,0.000
gpt-3.5-turbo,context ignoring,Yes,200,199,0,0.995,0.995,0.000,0.000,1,0.005
gpt-3.5-turbo,escape characters,Yes,200,194,0,0.970,0.970,2.000,0.010,10,0.050
gpt-3.5-turbo,fake completion,Yes,200,196,0,0.980,0.980,0.000,0.000,4,0.020
gpt-3.5-turbo,naive,Yes,200,197,0,0.985,0.985,1.000,0.005,10,0.050
