LLM,Attack,Aggressive,Attacks num,Successful attack num,Plan generation failures num,ASR,ASR - plan failure,Original task success num,Original task success rate,Refuse number,Refuse rate,Memory search success num,Memory search success rate
gpt-4o-2024-08-06,combined attack,No,200,20,0,0.100,0.100,133,0.665,2,0.010,73,0.365
gpt-4o-2024-08-06,context ignoring,No,200,22,0,0.110,0.110,135,0.675,0,0.000,62,0.310
gpt-4o-2024-08-06,escape characters,No,200,24,0,0.120,0.120,132,0.660,0,0.000,90,0.450
gpt-4o-2024-08-06,fake completion,No,200,24,0,0.120,0.120,125,0.625,0,0.000,64,0.320
gpt-4o-2024-08-06,naive,No,200,21,0,0.105,0.105,131,0.655,1,0.005,79,0.395
gpt-4o-2024-08-06,combined attack,Yes,200,11,0,0.055,0.055,138,0.690,1,0.005,77,0.385
gpt-4o-2024-08-06,context ignoring,Yes,200,14,0,0.070,0.070,136,0.680,1,0.005,48,0.240
gpt-4o-2024-08-06,escape characters,Yes,200,20,0,0.100,0.100,137,0.685,0,0.000,77,0.385
gpt-4o-2024-08-06,fake completion,Yes,200,16,0,0.080,0.080,133,0.665,1,0.005,54,0.270
gpt-4o-2024-08-06,naive,Yes,200,14,0,0.070,0.070,135,0.675,0,0.000,55,0.275
claude-3-5-sonnet-20240620,combined attack,No,200,54,0,0.270,0.270,172,0.860,0,0.000,73,0.365
claude-3-5-sonnet-20240620,context ignoring,No,200,50,0,0.250,0.250,165,0.825,3,0.015,62,0.310
claude-3-5-sonnet-20240620,escape characters,No,200,52,0,0.260,0.260,172,0.860,0,0.000,90,0.450
claude-3-5-sonnet-20240620,fake completion,No,200,55,0,0.275,0.275,177,0.885,4,0.020,64,0.320
claude-3-5-sonnet-20240620,naive,No,200,54,0,0.270,0.270,168,0.840,1,0.005,79,0.395
claude-3-5-sonnet-20240620,combined attack,Yes,200,26,0,0.130,0.130,183,0.915,3,0.015,76,0.380
claude-3-5-sonnet-20240620,context ignoring,Yes,200,26,0,0.130,0.130,179,0.895,2,0.010,49,0.245
claude-3-5-sonnet-20240620,escape characters,Yes,200,26,0,0.130,0.130,184,0.920,3,0.015,77,0.385
claude-3-5-sonnet-20240620,fake completion,Yes,200,25,1,0.125,0.126,186,0.930,6,0.030,54,0.270
claude-3-5-sonnet-20240620,naive,Yes,200,27,1,0.135,0.136,179,0.895,2,0.010,56,0.280
