LLM,Attack,Aggressive,Attacks num,Successful attack num,Plan generation failures num,ASR,ASR - plan failure,Original task success num,Original task success rate,Refuse number,Refuse rate,Memory search success num,Memory search success rate
llama3:70b,combined attack,No,200,177,0,0.885,0.885,5.000,0.025,3,0.015,197,0.985
llama3:70b,combined attack,Yes,200,165,1,0.825,0.829,1.000,0.005,23,0.115,200,1.000
llama3.1:70b,combined attack,No,200,187,0,0.935,0.935,1.000,0.005,0,0.000,197,0.985
llama3.1:70b,combined attack,Yes,200,191,0,0.955,0.955,0.000,0.000,5,0.025,200,1.000
llama3:8b,combined attack,No,200,78,0,0.390,0.390,5.000,0.025,5,0.025,197,0.985
llama3:8b,combined attack,Yes,200,85,2,0.425,0.429,1.000,0.005,18,0.090,199,0.995
llama3.1:8b,combined attack,No,200,155,0,0.775,0.775,0.000,0.000,0,0.000,197,0.985
llama3.1:8b,combined attack,Yes,200,139,0,0.695,0.695,0.000,0.000,14,0.070,199,0.995
gemma2:27b,combined attack,No,200,198,0,0.990,0.990,0.000,0.000,1,0.005,197,0.985
gemma2:27b,combined attack,Yes,200,194,4,0.970,0.990,0.000,0.000,4,0.020,200,1.000
gemma2:9b,combined attack,No,200,183,0,0.915,0.915,0.000,0.000,1,0.005,196,0.980
gemma2:9b,combined attack,Yes,200,177,1,0.885,0.889,0.000,0.000,3,0.015,199,0.995
mixtral:8x7b,combined attack,No,200,112,2,0.560,0.566,1.000,0.005,7,0.035,197,0.985
mixtral:8x7b,combined attack,Yes,200,107,4,0.535,0.546,0.000,0.000,20,0.100,198,0.990
qwen2:7b,combined attack,No,200,138,0,0.690,0.690,2.000,0.010,4,0.020,197,0.985
qwen2:7b,combined attack,Yes,200,152,0,0.760,0.760,2.000,0.010,13,0.065,200,1.000
qwen2:72b,combined attack,No,200,200,0,1.000,1.000,0.000,0.000,0,0.000,197,0.985
qwen2:72b,combined attack,Yes,200,194,0,0.970,0.970,2.000,0.010,3,0.015,199,0.995
