LLM,Attack,Aggressive,Attacks num,Successful attack num,Plan generation failures num,ASR,ASR - plan failure,Original task success num,Original task success rate,Refuse number,Refuse rate
gpt-3.5-turbo,combined attack,No,200,59,0,0.295,0.295,25,0.125,22,0.110
gpt-3.5-turbo,combined attack,Yes,200,36,0,0.180,0.180,18,0.090,50,0.250
gpt-4o-mini,combined attack,No,200,116,0,0.580,0.580,59,0.295,3,0.015
gpt-4o-mini,combined attack,Yes,200,82,0,0.410,0.410,63,0.315,5,0.025
llama3:70b,combined attack,No,200,85,0,0.425,0.425,131,0.655,5,0.025
llama3:70b,combined attack,Yes,200,53,0,0.265,0.265,138,0.690,12,0.060
llama3.1:70b,combined attack,No,200,29,0,0.145,0.145,34,0.170,16,0.080
llama3.1:70b,combined attack,Yes,200,15,3,0.075,0.076,34,0.170,31,0.155
llama3:8b,combined attack,No,200,20,56,0.100,0.139,12,0.060,60,0.300
llama3:8b,combined attack,Yes,200,17,69,0.085,0.130,12,0.060,83,0.415
llama3.1:8b,combined attack,No,200,24,0,0.120,0.120,9,0.045,2,0.010
llama3.1:8b,combined attack,Yes,200,12,0,0.060,0.060,11,0.055,9,0.045
gemma2:27b,combined attack,No,200,36,0,0.180,0.180,42,0.210,27,0.135
gemma2:27b,combined attack,Yes,200,19,0,0.095,0.095,43,0.215,32,0.160
gemma2:9b,combined attack,No,200,24,0,0.120,0.120,23,0.115,40,0.200
gemma2:9b,combined attack,Yes,200,16,0,0.080,0.080,28,0.140,39,0.195
mixtral:8x7b,combined attack,No,200,17,2,0.085,0.086,0,0.000,12,0.060
mixtral:8x7b,combined attack,Yes,200,17,2,0.085,0.086,0,0.000,16,0.080
qwen2:7b,combined attack,No,200,29,0,0.145,0.145,15,0.075,15,0.075
qwen2:7b,combined attack,Yes,200,16,1,0.080,0.080,15,0.075,17,0.085
qwen2:72b,combined attack,No,200,43,0,0.215,0.215,33,0.165,50,0.250
qwen2:72b,combined attack,Yes,200,27,0,0.135,0.135,45,0.225,63,0.315
gpt-4o-2024-08-06,combined attack,No,200,155,0,0.775,0.775,132,0.660,3,0.015
gpt-4o-2024-08-06,combined attack,Yes,200,112,0,0.560,0.560,142,0.710,6,0.030
claude-3-5-sonnet-20240620,combined attack,No,200,152,0,0.760,0.760,182,0.910,18,0.090
claude-3-5-sonnet-20240620,combined attack,Yes,200,87,0,0.435,0.435,143,0.715,66,0.330
