LLM,Attack,Aggressive,Attacks num,Successful attack num,Plan generation failures num,ASR,ASR - plan failure,Original task success num,Original task success rate,Refuse number,Refuse rate
gpt-3.5-turbo,combined attack,No,200,110,0,0.550,0.550,70,0.350,42,0.210
gpt-3.5-turbo,combined attack,Yes,200,67,0,0.335,0.335,54,0.270,35,0.175
gpt-4o-mini,combined attack,No,200,72,0,0.360,0.360,64,0.320,8,0.040
gpt-4o-mini,context ignoring,No,200,56,0,0.280,0.280,56,0.280,11,0.055
gpt-4o-mini,escape characters,No,200,88,0,0.440,0.440,67,0.335,5,0.025
gpt-4o-mini,fake completion,No,200,82,0,0.410,0.410,64,0.320,11,0.055
gpt-4o-mini,naive,No,200,91,0,0.455,0.455,65,0.325,11,0.055
gpt-4o-mini,combined attack,Yes,200,72,0,0.360,0.360,59,0.295,12,0.060
gpt-4o-mini,context ignoring,Yes,200,60,0,0.300,0.300,55,0.275,19,0.095
gpt-4o-mini,escape characters,Yes,200,59,0,0.295,0.295,75,0.375,18,0.090
gpt-4o-mini,fake completion,Yes,200,68,0,0.340,0.340,69,0.345,17,0.085
gpt-4o-mini,naive,Yes,200,57,0,0.285,0.285,75,0.375,15,0.075
llama3:70b,combined attack,No,200,106,0,0.530,0.530,153,0.765,5,0.025
llama3:70b,combined attack,Yes,200,60,0,0.300,0.300,150,0.750,25,0.125
llama3.1:70b,combined attack,No,200,22,0,0.110,0.110,36,0.180,6,0.030
llama3.1:70b,combined attack,Yes,200,21,0,0.105,0.105,37,0.185,19,0.095
llama3:8b,combined attack,No,200,21,17,0.105,0.115,19,0.095,31,0.155
llama3:8b,combined attack,Yes,200,14,11,0.070,0.074,18,0.090,56,0.280
llama3.1:8b,combined attack,No,200,27,0,0.135,0.135,7,0.035,2,0.010
llama3.1:8b,combined attack,Yes,200,11,0,0.055,0.055,5,0.025,25,0.125
gemma2:27b,combined attack,No,200,38,0,0.190,0.190,90,0.450,14,0.070
gemma2:27b,combined attack,Yes,200,26,0,0.130,0.130,69,0.345,27,0.135
gemma2:9b,combined attack,No,200,35,0,0.175,0.175,47,0.235,41,0.205
gemma2:9b,combined attack,Yes,200,19,0,0.095,0.095,40,0.200,32,0.160
mixtral:8x7b,combined attack,No,200,18,3,0.090,0.091,1,0.005,17,0.085
mixtral:8x7b,combined attack,Yes,200,13,4,0.065,0.066,1,0.005,23,0.115
qwen2:7b,combined attack,No,200,22,0,0.110,0.110,14,0.070,13,0.065
qwen2:7b,combined attack,Yes,200,16,0,0.080,0.080,14,0.070,11,0.055
qwen2:72b,combined attack,No,200,67,0,0.335,0.335,64,0.320,42,0.210
qwen2:72b,combined attack,Yes,200,39,0,0.195,0.195,85,0.425,41,0.205
gpt-4o-2024-08-06,combined attack,No,200,153,0,0.765,0.765,117,0.585,19,0.095
gpt-4o-2024-08-06,combined attack,Yes,200,94,0,0.470,0.470,138,0.690,17,0.085
claude-3-5-sonnet-20240620,combined attack,No,200,163,0,0.815,0.815,155,0.775,11,0.055
claude-3-5-sonnet-20240620,combined attack,Yes,200,62,0,0.310,0.310,155,0.775,39,0.195
