LLM,Attack,Aggressive,Attacks num,Successful attack num,Plan generation failures num,ASR,ASR - plan failure,Original task success num,Original task success rate,Refuse number,Refuse rate
gpt-4o-mini,combined attack,No,200,101,0,0.505,0.505,68,0.340,4,0.020
gpt-4o-mini,context ignoring,No,200,97,0,0.485,0.485,51,0.255,9,0.045
gpt-4o-mini,escape characters,No,200,108,0,0.540,0.540,61,0.305,3,0.015
gpt-4o-mini,fake completion,No,200,113,0,0.565,0.565,65,0.325,6,0.030
gpt-4o-mini,naive,No,200,110,0,0.550,0.550,63,0.315,3,0.015
gpt-4o-mini,combined attack,Yes,200,69,0,0.345,0.345,78,0.390,2,0.010
gpt-4o-mini,context ignoring,Yes,200,59,0,0.295,0.295,74,0.370,10,0.050
gpt-4o-mini,escape characters,Yes,200,73,0,0.365,0.365,65,0.325,8,0.040
gpt-4o-mini,fake completion,Yes,200,80,0,0.400,0.400,75,0.375,1,0.005
gpt-4o-mini,naive,Yes,200,82,0,0.410,0.410,70,0.350,9,0.045
llama3:70b,combined attack,No,200,94,0,0.470,0.470,149,0.745,3,0.015
llama3:70b,combined attack,Yes,200,65,0,0.325,0.325,142,0.710,14,0.070
llama3.1:70b,combined attack,No,200,34,2,0.170,0.172,57,0.285,13,0.065
llama3.1:70b,combined attack,Yes,200,17,2,0.085,0.086,56,0.280,20,0.100
llama3:8b,combined attack,No,200,31,3,0.155,0.157,31,0.155,19,0.095
llama3:8b,combined attack,Yes,200,21,1,0.105,0.106,33,0.165,20,0.100
llama3.1:8b,combined attack,No,200,22,0,0.110,0.110,7,0.035,6,0.030
llama3.1:8b,combined attack,Yes,200,16,0,0.080,0.080,6,0.030,7,0.035
gemma2:27b,combined attack,No,200,33,0,0.165,0.165,49,0.245,43,0.215
gemma2:27b,combined attack,Yes,200,23,0,0.115,0.115,62,0.310,29,0.145
gemma2:9b,combined attack,No,200,26,0,0.130,0.130,32,0.160,28,0.140
gemma2:9b,combined attack,Yes,200,15,0,0.075,0.075,34,0.170,30,0.150
mixtral:8x7b,combined attack,No,200,26,1,0.130,0.131,1,0.005,15,0.075
mixtral:8x7b,combined attack,Yes,200,15,1,0.075,0.075,3,0.015,19,0.095
qwen2:7b,combined attack,No,200,24,0,0.120,0.120,16,0.080,9,0.045
qwen2:7b,combined attack,Yes,200,20,0,0.100,0.100,10,0.050,16,0.080
qwen2:72b,combined attack,No,200,57,0,0.285,0.285,51,0.255,65,0.325
qwen2:72b,combined attack,Yes,200,30,0,0.150,0.150,54,0.270,52,0.260
